# Time-averaged data for fix global_out
# TimeStep v_nmobile v_nbank v_noutlet f_outlet c_sum_contact c_max_contact c_sum_ke c_sum_erot c_bank_contact c_bank_ke c_bank_erot
126000 34690 27841 0 0 196 2 5.17572e-06 4.24687e-07 194 4.10207e-06 4.23674e-07
128000 34690 28232 0 0 174 2 5.16575e-06 4.29383e-07 174 4.14435e-06 4.28508e-07
130000 34690 28619 0 0 159 2 5.15915e-06 4.32904e-07 155 4.1901e-06 4.31798e-07
132000 43867 29034 0 0 247 2 6.31141e-06 4.34303e-07 245 4.24308e-06 4.32987e-07
134000 43867 29466 0 0 179 2 6.32515e-06 4.45298e-07 173 4.29438e-06 4.43558e-07
136000 43867 29917 0 0 170 1 6.34914e-06 4.48498e-07 164 4.35782e-06 4.46485e-07
138000 43867 30437 0 0 194 2 6.37207e-06 4.54466e-07 188 4.43495e-06 4.5267e-07
140000 43867 31015 0 0 195 2 6.39908e-06 4.60322e-07 187 4.52544e-06 4.58425e-07
142000 43867 31741 0 0 175 2 6.4206e-06 4.6886e-07 171 4.64138e-06 4.66765e-07
144000 43867 32686 0 0 171 1 6.44147e-06 4.76693e-07 162 4.79894e-06 4.7485e-07
146000 43867 34004 0 0 229 2 6.4589e-06 4.86353e-07 227 5.02248e-06 4.84894e-07
148000 43867 34964 0 0 225 2 6.46599e-06 4.95506e-07 221 5.16313e-06 4.9464e-07
150000 43867 35268 0 0 263 2 6.45466e-06 5.11399e-07 255 5.17916e-06 5.10481e-07
152000 43867 35596 0 0 272 2 6.44019e-06 5.22445e-07 264 5.19868e-06 5.21616e-07
154000 43867 35918 0 0 233 2 6.42337e-06 5.31832e-07 233 5.21494e-06 5.31012e-07
156000 43867 36277 0 0 217 1 6.41297e-06 5.36122e-07 217 5.24561e-06 5.35051e-07
158000 43867 36656 0 0 252 2 6.40122e-06 5.42576e-07 248 5.28049e-06 5.41494e-07
160000 43867 37049 0 0 249 1 6.39096e-06 5.50865e-07 245 5.32061e-06 5.49573e-07
162000 43867 37414 0 0 275 2 6.38143e-06 5.57544e-07 273 5.35495e-06 5.56112e-07
164000 52962 37860 0 0 196 1 7.51941e-06 5.62394e-07 194 5.41036e-06 5.61036e-07
166000 52962 38287 0 0 241 2 7.54447e-06 5.65044e-07 225 5.47158e-06 5.63551e-07
168000 52962 38737 0 0 261 1 7.56869e-06 5.67048e-07 243 5.53505e-06 5.65439e-07
170000 52962 39255 0 0 192 2 7.59797e-06 5.71089e-07 180 5.61702e-06 5.6933e-07
172000 52962 39865 0 0 270 2 7.62467e-06 5.7601e-07 268 5.71322e-06 5.74275e-07
174000 52961 40541 0 1 254 1 7.65299e-06 5.80051e-07 249 5.82395e-06 5.78342e-07
176000 52961 41430 0 1 225 1 7.67487e-06 5.90665e-07 215 5.97093e-06 5.88789e-07
178000 52960 42657 0 2 307 2 7.68975e-06 6.00636e-07 298 6.17351e-06 5.99084e-07
180000 52960 43962 0 2 270 2 7.69682e-06 6.12039e-07 260 6.37428e-06 6.10772e-07
182000 52960 44310 0 2 299 2 7.69357e-06 6.23122e-07 293 6.40264e-06 6.21975e-07
184000 52959 44658 0 3 289 2 7.68442e-06 6.31169e-07 283 6.43038e-06 6.30052e-07
186000 52959 44957 0 3 302 2 7.67563e-06 6.34264e-07 300 6.44685e-06 6.33138e-07
188000 52959 45312 0 3 335 2 7.67017e-06 6.36643e-07 331 6.47749e-06 6.35032e-07
190000 52958 45659 0 4 324 2 7.6637e-06 6.43116e-07 320 6.50713e-06 6.4122e-07
192000 52958 46006 0 4 325 2 7.65709e-06 6.46853e-07 325 6.53238e-06 6.44621e-07
194000 52958 46355 0 4 304 2 7.65568e-06 6.49821e-07 300 6.55737e-06 6.47066e-07
196000 52956 46724 0 6 328 1 7.65096e-06 6.56165e-07 328 6.58988e-06 6.53382e-07
198000 61808 47113 0 8 346 2 8.7767e-06 6.61041e-07 338 6.63102e-06 6.5777e-07
200000 61806 47519 0 10 264 2 8.80428e-06 6.63148e-07 256 6.68199e-06 6.59151e-07
202000 62962 47964 0 15 263 1 8.97761e-06 6.70563e-07 257 6.73531e-06 6.6546e-07
204000 62960 48525 0 17 304 2 9.01092e-06 6.72861e-07 292 6.81769e-06 6.66734e-07
206000 62955 49148 0 22 286 2 9.04331e-06 6.78045e-07 286 6.91922e-06 6.70749e-07
208000 62947 49956 0 30 287 1 9.0646e-06 6.84516e-07 277 7.04286e-06 6.77075e-07
210000 62944 51019 0 33 325 2 9.09162e-06 6.91215e-07 318 7.20917e-06 6.82602e-07
212000 62932 52398 0 45 302 2 9.09765e-06 7.08483e-07 300 7.42258e-06 6.98739e-07
214000 62922 52942 0 55 332 1 9.09962e-06 7.18536e-07 328 7.48206e-06 7.0783e-07
216000 62908 53254 0 69 358 2 9.07803e-06 7.32052e-07 354 7.48776e-06 7.20799e-07
218000 62883 53591 0 94 385 1 9.05168e-06 7.41758e-07 381 7.49958e-06 7.29554e-07
220000 62855 53934 0 122 381 2 9.0293e-06 7.46451e-07 371 7.51975e-06 7.33286e-07
222000 62824 54254 0 153 426 2 9.00857e-06 7.49318e-07 426 7.5376e-06 7.35715e-07
224000 62796 54645 0 181 384 2 8.98677e-06 7.51979e-07 380 7.56808e-06 7.37963e-07
226000 62770 55034 0 207 405 2 8.97042e-06 7.53437e-07 395 7.60486e-06 7.39012e-07
228000 62749 55405 0 228 380 2 8.9562e-06 7.5759e-07 376 7.6329e-06 7.42415e-07
230000 62729 55831 0 248 370 2 8.94444e-06 7.58338e-07 368 7.67537e-06 7.4145e-07
232000 62716 56309 0 261 381 1 8.93997e-06 7.61495e-07 379 7.73595e-06 7.43933e-07
234000 71506 56809 0 288 363 2 1.00401e-05 7.64042e-07 353 7.7979e-06 7.44693e-07
236000 71486 57346 0 308 345 2 1.00571e-05 7.68013e-07 331 7.86733e-06 7.46837e-07
238000 71463 57959 0 331 412 2 1.00726e-05 7.70631e-07 400 7.95451e-06 7.48145e-07
240000 71445 58701 0 349 390 2 1.00965e-05 7.72586e-07 380 8.07004e-06 7.4776e-07
242000 71421 59641 0 373 390 2 1.01088e-05 7.78222e-07 384 8.21863e-06 7.5209e-07
244000 71392 60831 0 402 389 2 1.01187e-05 7.86178e-07 385 8.411e-06 7.58691e-07
246000 71362 61718 0 432 364 2 1.01154e-05 7.99063e-07 360 8.54228e-06 7.7139e-07
248000 71339 61974 0 455 397 2 1.0105e-05 8.09188e-07 387 8.54737e-06 7.81341e-07
250000 71316 62216 0 478 433 1 1.00958e-05 8.09661e-07 431 8.55175e-06 7.81255e-07
252000 71282 62435 0 512 481 2 1.00775e-05 8.11799e-07 479 8.54975e-06 7.82124e-07
254000 71252 62679 0 542 423 2 1.0065e-05 8.1686e-07 417 8.55485e-06 7.8513e-07
256000 71213 62932 0 581 437 2 1.00518e-05 8.12499e-07 433 8.56451e-06 7.80139e-07
258000 71183 63181 0 611 458 2 1.00425e-05 8.13689e-07 454 8.57837e-06 7.80628e-07
260000 71154 63463 0 640 439 2 1.00345e-05 8.13364e-07 436 8.59106e-06 7.78498e-07
262000 71121 63747 0 673 397 2 1.003e-05 8.14069e-07 395 8.61348e-06 7.7823e-07
264000 71087 64060 0 707 414 2 1.00256e-05 8.14107e-07 414 8.63759e-06 7.77173e-07
266000 79959 64355 0 745 396 2 1.11433e-05 8.158e-07 389 8.66788e-06 7.7731e-07
268000 79924 64700 0 780 445 2 1.11702e-05 8.13427e-07 431 8.70443e-06 7.74303e-07
270000 79892 65064 0 812 402 2 1.11975e-05 8.14039e-07 392 8.75081e-06 7.73968e-07
